-858993460 -858993460 -858993460 -858993460 -858993460 -858993460
13 0 木製盔甲 20 aaa 1
1 1 生鏽的大刀 50 aaa 1
7 0 平底鍋 100 aaa 1
7 0 平底鍋 100 aaa 1
14 0 鋼鐵盔甲 30 1 4
11 0 大背包 30 1 4
13 0 木製盔甲 20 1 4
14 0 鋼鐵盔甲 30 1 4
2 1 鋒利的大刀 70 1 4
11 0 大背包 30 1 4
14 0 鋼鐵盔甲 30 1 4
1 1 生鏽的大刀 50 1 4
1 1 生鏽的大刀 50 1 4
8 0 鍋鏟 200 1 4
4 2 AK47 70 1 4
14 0 鋼鐵盔甲 30 1 4
13 0 木製盔甲 20 1 4
14 0 鋼鐵盔甲 30 1 4
11 0 大背包 30 1 4
7 0 平底鍋 100 1 4
10 0 中背包 20 1 4
12 0 紙糊的盔甲 10 1 4
2 1 鋒利的大刀 70 1 4
2 1 鋒利的大刀 70 1 4
5 3 普通的弓箭 50 1 4
4 2 AK47 70 1 4
14 0 鋼鐵盔甲 30 1 4
6 3 傳說中的弓箭 70 1 4
11 0 大背包 30 1 4
14 0 鋼鐵盔甲 30 1 4
4 2 AK47 70 1 4
14 0 鋼鐵盔甲 30 1 4
13 0 木製盔甲 20 吳汶憲 5
6 3 傳說中的弓箭 70 吳汶憲 5
14 0 鋼鐵盔甲 30 吳汶憲 5
1 1 生鏽的大刀 50 吳汶憲 5
6 3 傳說中的弓箭 70 吳汶憲 5
2 1 鋒利的大刀 70 吳汶憲 5
4 2 AK47 70 吳汶憲 5
14 0 鋼鐵盔甲 30 吳汶憲 5
10 0 中背包 20 吳汶憲 5
10 0 中背包 20 吳汶憲 5
